sentence,implied_statement
is it true that they are going to shoot white people nov 4th ?,Minorities are violent towards whites.
i howl at all the white doing the die in in ferg.they think they not bigots .,Whites are racists
i howl at all the white doing the die in in ferg.they think they not bigots .,White people don't know they are racist.
they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up,Muslims are hateful
they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up,Muslims are hateful.
will the white oppression never cease !,non-white people are oppressors
will the white oppression never cease !,White people oppress others.
white men not allowed unemployment in ohio  funneled to black mafia members . women have no basic human rights .,black people are dishonest.
white men not allowed unemployment in ohio  funneled to black mafia members . women have no basic human rights .,Black people don't like whites.
the left would literally rather a white man murder 700 people  than see any other race be found guilty of jay walking . it's pathetic .,White men are murderers.
the left would literally rather a white man murder 700 people  than see any other race be found guilty of jay walking . it's pathetic .,Liberals only care about minorities.
how dare people of european decent want their civilisation to live on & flourish ! ! so unreasonable !,Minorities are hypocrites
this is what daca protects . #nodaca #buildthewall #deportillegals,Illegal aliens should be deported.
this is what daca protects . #nodaca #buildthewall #deportillegals,Illegals bring down countries
lol you're jewish though . not white .,Jews are not white
lol you're jewish though . not white .,Jews are inferior
